ensg	credDC	credDC.maxCADD	credDC.maxPIP	credDC.minP	credDC.loci	cred_eQTL	cred_eQTL.ts	cred_eQTL.maxPIP	cred_eQTL.minP	cred_eQTL.loci	gwsDC	gwsDC.maxCADD	gwsDC.minP	gwsDC.loci	gws_eQTL	gws_eQTL.ts	gws_eQTL.minP	gws_eQTL.loci
ENSG00000140945	NA	NA	NA	NA	NA	2	PsychENCODE_eQTLs	0.427462	1.384e-08	492	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000196712	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.777684	3.005e-10	499	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000159199	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.229009	5.055e-11	502	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000069188	NA	NA	NA	NA	NA	6	PsychENCODE_eQTLs:GTEx/v8/Nerve_Tibial	0.321353	4.182e-08	506	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000105698	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs:GTEx/v8/Pancreas	0.235895	3.248e-08	524	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000124140	NA	NA	NA	NA	NA	2	PsychENCODE_eQTLs:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Putamen_basal_ganglia	0.125729	7.997e-10	537	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000100216	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.180462	5.328e-11	549	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000116514	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.120914	2.8e-08	6	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000162366	NA	NA	NA	NA	NA	4	eQTLGen_cis_eQTLs:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Pancreas	0.127812	2.093e-08	11	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000172456	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.13481	1.703e-09	14	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000162594	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.136547	3.506e-08	17	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000172260	NA	NA	NA	NA	NA	6	eQTLGen_cis_eQTLs:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Lung	1	2.268e-28	18	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000116791	NA	NA	NA	NA	NA	3	eQTLGen_cis_eQTLs	0.459919	5.727e-09	19	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000143595	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.299647	3.111e-08	30	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000182827	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.688777	1.504e-09	39:40	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000143891	NA	NA	NA	NA	NA	3	eQTLGen_cis_eQTLs	0.223618	1.886e-08	47	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000115085	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs:GTEx/v8/Muscle_Skeletal	0.174927	2.809e-12	62	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000135945	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.679091	1.616e-08	63	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000144214	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.679091	1.616e-08	63	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000241962	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.679091	1.616e-08	63	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000077380	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Muscle_Skeletal:GTEx/v8/Pancreas:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Stomach:GTEx/v8/Testis	0.283168	6.642e-12	81	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000115840	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Testis	0.283168	6.642e-12	81	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000157020	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.50108	6.456e-21	99	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000004534	NA	NA	NA	NA	NA	14	eQTLGen_cis_eQTLs:GTEx/v8/Brain_Substantia_nigra	1	1.035e-19	106	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000182179	NA	NA	NA	NA	NA	14	eQTLGen_cis_eQTLs	1	1.035e-19	106	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000071205	NA	NA	NA	NA	NA	3	eQTLGen_cis_eQTLs	0.323426	4.942e-08	160	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000151623	NA	NA	NA	NA	NA	3	eQTLGen_cis_eQTLs	0.323426	4.942e-08	160	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000113712	NA	NA	NA	NA	NA	3	eQTLGen_cis_eQTLs:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Thyroid	0.30182	4.106e-09	194	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000183111	NA	NA	NA	NA	NA	3	eQTLGen_cis_eQTLs:GTEx/v8/Cells_Cultured_fibroblasts	0.30182	4.106e-09	194	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000170271	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.159799	3.603e-17	195	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000158373	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Brain_Hippocampus:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Muscle_Skeletal	0.120482	2.418e-14	206	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000112039	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.307068	1.727e-06	211	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000082269	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.117284	5.279e-09	218	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000161036	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.382289	2.64e-08	254	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	4.531e-09	255
ENSG00000184903	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Artery_Tibial:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Nerve_Tibial:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Testis:GTEx/v8/Thyroid	0.122516	2.263e-09	259	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000106034	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.244892	1.292e-11	264	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000179886	NA	NA	NA	NA	NA	14	eQTLGen_cis_eQTLs:GTEx/v8/Thyroid	0.999931	1.16e-11	302	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000147813	NA	NA	NA	NA	NA	14	eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Kidney_Cortex:GTEx/v8/Lung:GTEx/v8/Minor_Salivary_Gland:GTEx/v8/Ovary:GTEx/v8/Prostate:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Testis:GTEx/v8/Uterus:GTEx/v8/Vagina	0.999931	1.16e-11	302	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000137054	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.163747	9.514e-16	313	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000147905	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.163747	9.514e-16	313	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000175768	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.163747	9.514e-16	313	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000119392	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum	0.539883	1.746e-09	324	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000188986	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.431573	5.49e-33	331	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000169826	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Brain_Substantia_nigra:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Nerve_Tibial:GTEx/v8/Ovary:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Testis:GTEx/v8/Thyroid:GTEx/v8/Uterus:GTEx/v8/Vagina	0.101166	3.486e-09	337	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000198915	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.101166	3.486e-09	337	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000165730	NA	NA	NA	NA	NA	5	eQTLGen_cis_eQTLs	0.614941	5.561e-09	342	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000076685	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.246972	1.194e-08	349	NA	NA	NA	NA	159	eQTLGen_cis_eQTLs:GTEx/v8/Whole_Blood	5.268e-10	348
ENSG00000148814	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.453177	4.205e-08	359	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000205339	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Esophagus_Mucosa	0.104507	3.153e-10	361	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000204710	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.151945	1.425e-12	372	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000254614	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.151945	1.425e-12	372	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000173992	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.400062	2.106e-16	372	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000254986	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.400062	2.106e-16	372	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000137760	NA	NA	NA	NA	NA	10	eQTLGen_cis_eQTLs:GTEx/v8/Brain_Cortex:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Muscle_Skeletal:GTEx/v8/Prostate:GTEx/v8/Thyroid	0.999999	4.403e-08	378	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000118058	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.458572	3.826e-13	380	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000111481	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.166271	6.556e-09	395	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000139323	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.184175	2.874e-09	403	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000090975	NA	NA	NA	NA	NA	6	eQTLGen_cis_eQTLs:GTEx/v8/Thyroid	1	2.163e-22	408	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000150456	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.251706	9.594e-13	410	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000100749	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic	0.51611	5.779e-10	445	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000172575	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Testis	0.307399	1.654e-19	452	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000137764	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs	0.585663	1.324e-08	459	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000188779	NA	NA	NA	NA	NA	2	eQTLGen_cis_eQTLs:GTEx/v8/Esophagus_Gastroesophageal_Junction	0.585663	1.324e-08	459	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000103355	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.214028	7.63e-10	470	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000162078	NA	NA	NA	NA	NA	1	eQTLGen_cis_eQTLs	0.214028	7.63e-10	470	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000177302	NA	NA	NA	NA	NA	3	eQTLGen_cis_eQTLs	0.401381	4.694e-10	496	NA	NA	NA	NA	NA	NA	NA	NA
